"Date","Price","Open","High","Low","Vol.","Change %"
"07/21/2022","8.80","8.70","8.90","8.70","351.11K","1.15%"
"07/20/2022","8.70","8.80","8.80","8.70","42.38K","-1.14%"
"07/19/2022","8.80","8.80","8.80","8.70","94.29K","0.00%"
"07/18/2022","8.80","8.80","8.80","8.70","33.19K","1.15%"
"07/15/2022","8.70","8.70","8.90","8.70","120.94K","0.00%"
"07/14/2022","8.70","8.70","8.70","8.60","61.14K","0.00%"
"07/12/2022","8.70","8.70","8.70","8.60","464.78K","0.00%"
"07/11/2022","8.70","8.70","8.70","8.50","716.44K","1.16%"
"07/08/2022","8.60","8.60","8.70","8.50","223.09K","0.00%"
"07/07/2022","8.60","8.50","8.60","8.40","318.13K","1.18%"
"07/06/2022","8.50","8.50","8.70","8.40","1.09M","0.00%"
"07/05/2022","8.50","8.50","8.60","8.40","260.42K","-1.16%"
"07/04/2022","8.60","8.80","8.80","8.50","210.17K","-2.27%"
"07/01/2022","8.80","8.60","8.80","8.50","632.89K","3.53%"
"06/30/2022","8.50","8.60","8.70","8.50","167.57K","-1.16%"
"06/29/2022","8.60","8.50","8.70","8.50","110.40K","0.00%"
"06/28/2022","8.60","8.50","8.70","8.40","1.65M","0.00%"
"06/27/2022","8.60","8.70","8.70","8.50","806.60K","-2.27%"
"06/24/2022","8.80","8.90","8.90","8.70","864.41K","-1.12%"
"06/23/2022","8.90","9.00","9.00","8.80","254.70K","-1.11%"
"06/22/2022","9.00","9.10","9.10","8.40","1.04M","-11.76%"
"06/21/2022","10.20","9.80","10.20","9.60","800.97K","4.08%"
"06/20/2022","9.80","9.50","9.90","9.50","2.83M","-1.01%"
"06/17/2022","9.90","9.90","9.90","9.50","3.99M","1.02%"
"06/16/2022","9.80","10.10","10.10","9.80","1.66M","-1.01%"
"06/15/2022","9.90","10.20","10.20","9.90","3.34M","-1.98%"
"06/13/2022","10.10","10.30","10.30","10.00","77.88K","-0.98%"
"06/10/2022","10.20","10.10","10.30","10.00","820.56K","0.99%"
"06/09/2022","10.10","9.90","10.10","9.90","80.37K","2.02%"
"06/08/2022","9.90","9.70","10.00","9.70","326.77K","2.06%"
"06/07/2022","9.70","9.80","9.90","9.60","1.49M","-1.02%"
"06/06/2022","9.80","9.70","9.80","9.60","398.42K","1.03%"
"06/03/2022","9.70","9.60","9.70","9.50","849.26K","1.04%"
"06/02/2022","9.60","9.50","9.60","9.50","6.09M","1.05%"
"06/01/2022","9.50","9.40","9.60","9.20","3.41M","1.06%"
"05/31/2022","9.40","9.40","9.70","9.20","1.90M","1.08%"
"05/30/2022","9.30","9.60","9.60","9.30","726.82K","-1.06%"
"05/27/2022","9.40","9.70","9.70","9.30","1.09M","0.00%"
"05/26/2022","9.40","9.70","9.70","9.10","1.10M","-2.08%"
"05/25/2022","9.60","9.70","9.70","9.60","134.88K","0.00%"
"05/24/2022","9.60","9.50","9.80","9.50","33.06K","0.00%"
"05/23/2022","9.60","9.80","9.80","9.60","439.20K","-4.00%"
"05/20/2022","10.00","9.60","10.00","9.60","726.57K","4.17%"
"05/19/2022","9.60","9.60","9.70","9.50","270.33K","0.00%"
"05/18/2022","9.60","9.50","9.60","9.50","1.02M","1.05%"
"05/17/2022","9.50","9.50","9.80","9.20","1.19M","-5.00%"
"05/13/2022","10.00","9.90","10.10","9.80","1.08M","3.09%"
"05/12/2022","9.70","9.20","9.80","9.20","322.32K","5.43%"
"05/09/2022","9.20","9.20","9.50","9.20","127.86K","0.00%"
"05/06/2022","9.20","9.50","9.50","9.20","135.58K","-1.08%"
"05/05/2022","9.30","9.90","9.90","9.10","144.69K","1.09%"
"05/04/2022","9.20","9.00","9.30","9.00","1.47M","2.22%"
"04/29/2022","9.00","9.20","9.40","8.90","6.11M","-2.17%"
"04/28/2022","9.20","9.00","9.40","8.80","4.43M","2.22%"
"04/27/2022","9.00","8.90","9.30","8.70","702.31K","0.00%"
"04/26/2022","9.00","9.00","9.10","8.90","280.86K","-1.10%"
"04/25/2022","9.10","9.30","9.30","9.10","267.95K","-5.21%"
"04/08/2022","9.60","9.50","9.60","9.40","761.06K","0.00%"
"04/07/2022","9.60","9.80","9.80","9.50","1.31M","-2.04%"
"04/06/2022","9.80","9.80","10.00","9.70","225.46K","0.00%"
"04/05/2022","9.80","9.70","10.00","9.70","1.90M","2.08%"
"04/04/2022","9.60","9.80","9.80","9.10","870.39K","-4.00%"
"04/01/2022","10.00","10.00","10.00","9.80","33.50K","0.00%"
"03/31/2022","10.00","10.30","10.30","9.90","1.01M","-2.91%"
"03/30/2022","10.30","10.80","10.80","10.20","986.58K","-4.63%"
"03/29/2022","10.80","11.00","11.00","10.70","502.94K","-1.82%"
"03/28/2022","11.00","11.30","11.30","10.90","343.36K","-0.90%"
"03/25/2022","11.10","11.20","11.30","11.00","282.37K","-0.89%"
"03/24/2022","11.20","11.20","11.20","11.10","436.18K","0.90%"
"03/23/2022","11.10","11.00","11.30","11.00","122.91K","-1.77%"
"03/22/2022","11.30","11.30","11.30","11.00","394.89K","0.00%"
"03/21/2022","11.30","11.00","11.30","11.00","551.85K","0.89%"
"03/18/2022","11.20","11.00","11.20","10.90","6.96M","1.82%"
"03/16/2022","11.00","11.30","11.30","11.00","1.40M","-2.65%"
"03/15/2022","11.30","11.30","11.40","11.10","10.79M","0.00%"
"03/14/2022","11.30","11.40","11.40","11.00","4.74M","0.89%"
"03/11/2022","11.20","11.10","11.40","11.10","1.45M","-0.88%"
"03/10/2022","11.30","11.10","11.30","11.00","545.08K","0.89%"
"03/09/2022","11.20","11.30","11.30","11.00","513.32K","-0.88%"
"03/08/2022","11.30","11.40","11.50","11.00","2.11M","-0.88%"
"03/07/2022","11.40","11.40","11.60","11.30","5.79M","0.88%"
"03/04/2022","11.30","11.40","11.60","11.30","171.45K","-0.88%"
"03/03/2022","11.40","11.70","11.70","11.40","304.17K","-1.72%"
"03/02/2022","11.60","11.70","11.70","11.40","365.13K","-0.85%"
"02/28/2022","11.70","11.40","11.80","11.20","3.82M","3.54%"
"02/25/2022","11.30","11.20","11.50","11.20","2.68M","0.00%"
